   0.31601389E+02  -0.39070563E-01   0.23691202E+00   0.14724232E+00 wkb
   0.31748631E+02   0.14805716E+00   0.18868052E+00   0.14768494E+00 wkb
   0.31896316E+02   0.23894768E+00   0.17313810E-01   0.14840797E+00 wkb
   0.32044724E+02   0.17232722E+00  -0.16602244E+00   0.14941558E+00 wkb
   0.32194139E+02  -0.10232576E-01  -0.23877879E+00   0.15071409E+00 wkb
   0.32344853E+02  -0.18686375E+00  -0.14857089E+00   0.15231211E+00 wkb
   0.32497166E+02  -0.23391838E+00   0.46324113E-01   0.15422061E+00 wkb
   0.32651386E+02  -0.11315903E+00   0.20956601E+00   0.15645310E+00 wkb
   0.32807839E+02   0.92643610E-01   0.21909167E+00   0.15902587E+00 wkb
   0.32966865E+02   0.22969560E+00   0.60791107E-01   0.16195820E+00 wkb
   0.33128823E+02   0.18567389E+00  -0.14779123E+00   0.16527269E+00 wkb
   0.33294096E+02  -0.12791195E-01  -0.23665503E+00   0.16899567E+00 wkb
   0.33463092E+02  -0.20298803E+00  -0.12177427E+00   0.17315760E+00 wkb
   0.33636249E+02  -0.21157051E+00   0.10550069E+00   0.17779370E+00 wkb
   0.33814043E+02  -0.17850900E-01   0.23540995E+00   0.18294452E+00 wkb
   0.33996987E+02   0.19707435E+00   0.12943332E+00   0.18865680E+00 wkb
   0.34185644E+02   0.20429499E+00  -0.11706859E+00   0.19498438E+00 wkb
   0.34380629E+02  -0.21431781E-01  -0.23412765E+00   0.20198937E+00 wkb
   0.34582618E+02  -0.22475169E+00  -0.67884677E-01   0.20974349E+00 wkb
   0.34792362E+02  -0.13789287E+00   0.18957343E+00   0.21832977E+00 wkb
   0.35010691E+02   0.14369926E+00   0.18473888E+00   0.22784455E+00 wkb
   0.35238536E+02   0.21136475E+00  -0.99663986E-01   0.23839997E+00 wkb
   0.35476936E+02  -0.66137799E-01  -0.22369785E+00   0.25012701E+00 wkb
   0.35727063E+02  -0.22780797E+00   0.48350586E-01   0.26317923E+00 wkb
   0.35990242E+02   0.49444226E-01   0.22711429E+00   0.27773744E+00 wkb
   0.36267980E+02   0.22073701E+00  -0.71439080E-01   0.29401550E+00 wkb
   0.36561995E+02  -0.11433934E+00  -0.20131920E+00   0.31226764E+00 wkb
   0.36874263E+02  -0.15457426E+00   0.17171923E+00   0.33279775E+00 wkb
   0.37207060E+02   0.22166957E+00   0.63292984E-01   0.35597119E+00 wkb
   0.37563032E+02  -0.74001674E-01  -0.21773178E+00   0.38223003E+00 wkb
   0.37945262E+02  -0.10294257E+00   0.20499423E+00   0.41211285E+00 wkb
   0.38357374E+02   0.19973903E+00  -0.11156200E+00   0.44628065E+00 wkb
   0.38803655E+02  -0.22589754E+00   0.31802325E-01   0.48555121E+00 wkb
   0.39289206E+02   0.22729758E+00  -0.73690601E-02   0.53094512E+00 wkb
   0.39820151E+02  -0.22068174E+00   0.51695822E-01   0.58374803E+00 wkb
   0.40403899E+02   0.15964297E+00  -0.15972365E+00   0.64559621E+00 wkb
   0.41049496E+02   0.43229855E-01   0.22072587E+00   0.71859553E+00 wkb
   0.41768091E+02  -0.22272813E+00   0.23524020E-01   0.80548951E+00 wkb
   0.42573581E+02  -0.13017571E+00  -0.18091820E+00   0.90990068E+00 wkb
   0.43483481E+02  -0.67457556E-01  -0.21119365E+00   0.10366834E+01 wkb
   0.44520165E+02  -0.17303880E+00  -0.13652573E+00   0.11924502E+01 wkb
   0.45712615E+02  -0.10736340E+00   0.19083214E+00   0.13863739E+01 wkb
   0.47098989E+02   0.10285284E+00  -0.19145313E+00   0.16314404E+01 wkb
   0.48730429E+02   0.21139156E+00   0.41876939E-01   0.19464600E+01 wkb
   0.50676889E+02   0.12227683E+00  -0.17488579E+00   0.23593938E+01 wkb
   0.53036283E+02   0.13135997E+00   0.16509027E+00   0.29130509E+01 wkb
   0.55949334E+02  -0.38167505E-01  -0.20464054E+00   0.36752323E+01 wkb
   0.59624566E+02  -0.31155186E-01   0.20250484E+00   0.47576200E+01 wkb
   0.64382186E+02  -0.76653896E-01   0.18580620E+00   0.63528173E+01 wkb
   0.70735004E+02   0.19631252E+00   0.30755274E-02   0.88114994E+01 wkb
   0.79546503E+02   0.10984128E+00  -0.15582845E+00   0.12814951E+02 wkb
   0.92361454E+02   0.17200891E+00  -0.64405190E-01   0.19795087E+02 wkb
   0.11215654E+03   0.14367978E+00   0.99836342E-01   0.33067492E+02 wkb
   0.14522403E+03  -0.15055170E+00   0.65099225E-01   0.61298871E+02 wkb
   0.20652290E+03   0.30024190E-01   0.14715667E+00   0.13093442E+03 wkb
   0.33745733E+03  -0.96675881E-01   0.91116324E-01   0.34071022E+03 wkb
   0.67816754E+03  -0.18154931E-01   0.11008354E+00   0.11733321E+04 wkb
   0.18514997E+04   0.81385836E-01   0.30180854E-01   0.60445769E+04 wkb
   0.78960766E+04  -0.34712630E-01   0.49430392E-01   0.55668688E+05 wkb
   0.63564765E+05  -0.32841247E-01  -0.14399615E-01   0.11813771E+07 wkb
   0.12449419E+07   0.15412089E-03  -0.17044163E-01   0.82419131E+08 wkb
   0.83664073E+08   0.39712052E-02  -0.44354583E-02   0.30948973E+11 wkb
   0.31032637E+11   0.29596012E-03   0.13238357E-02   0.12387377E+15 wkb
   0.12390480E+15   0.15692800E-03   0.67074081E-04   0.13671634E+20 wkb
   0.13671758E+20  -0.81812921E-05   0.45552421E-05   0.15694809E+27 wkb
   0.15694810E+27  -0.15757286E-06  -0.32403100E-07   0.12013356E+37 wkb
   0.12013356E+37  -0.49637478E-09  -0.22226267E-09   0.82629673E+50 wkb
